date,item_code,item_desc,item_variation,item_weight,index_name
2020-01-01,1108011,peixe - tainha,2.5,0.0016,IPCA
2020-01-01,1108012,peixe - sardinha,0.59,0.0053,IPCA
2020-01-01,1108013,camarao,2.2,0.0308,IPCA
2020-01-01,1108019,peixe - cavala,3.17,0.0008,IPCA
2020-01-01,1108029,peixe - cacao,4.61,0.0067,IPCA
2020-01-01,1108031,peixe - merluza,1.27,0.0159,IPCA
2020-01-01,1108032,peixe - serra,-3.03,0.0012,IPCA
2020-01-01,1108038,peixe - pescada,6.3,0.029,IPCA
2020-01-01,1108045,caranguejo,5.06,0.005,IPCA
2020-01-01,1108049,peixe - castanha,2.47,0.001,IPCA
2020-01-01,1108052,peixe - palombeta,-0.23,0.0008,IPCA
2020-01-01,1108072,peixe - curimata,1.25,0.0006,IPCA
2020-01-01,1108075,peixe - salmao,-1.87,0.0157,IPCA
2020-01-01,1108080,peixe - tilapia,1.72,0.0467,IPCA
2020-01-01,1108087,peixe - tambaqui,-0.68,0.0228,IPCA
2020-01-01,1108088,peixe - dourada,11.74,0.0072,IPCA
2020-01-01,1108092,peixe - filhote,24.76,0.0032,IPCA
2020-01-01,1108096,peixe - peroa,9.4,0.0007,IPCA
2020-01-01,1108112,peixe - pintado,0.04,0.0003,IPCA
2020-01-01,1108125,peixe - aruana,-0.45,0.0006,IPCA
2020-01-01,1109,carnes e peixes industrializados,1.64,0.6243,IPCA
2020-01-01,1109002,presunto,2.03,0.0963,IPCA
2020-01-01,1109007,salsicha,-0.17,0.0421,IPCA
2020-01-01,1109008,linguica,1.41,0.3004,IPCA
2020-01-01,1109010,mortadela,0.81,0.0521,IPCA
2020-01-01,1109012,salame,2.71,0.0087,IPCA
2020-01-01,1109023,bacalhau,1.28,0.0097,IPCA
2020-01-01,1109056,carne-seca e de sol,3.13,0.1063,IPCA
2020-01-01,1109058,carne de porco salgada e defumada,0.13,0.0088,IPCA
2020-01-01,1110,aves e ovos,2.06,1.1254,IPCA
2020-01-01,1110009,frango inteiro,2.02,0.3388,IPCA
2020-01-01,1110010,frango em pedacos,2.56,0.5614,IPCA
2020-01-01,1110044,ovo de galinha,0.87,0.2252,IPCA
2020-01-01,1111,leites e derivados,-0.27,1.5717,IPCA
2020-01-01,1111004,leite longa vida,-0.38,0.6171,IPCA
2020-01-01,1111008,leite condensado,0.44,0.0192,IPCA
2020-01-01,1111009,leite em po,0.51,0.1829,IPCA
2020-01-01,1111011,queijo,-0.61,0.4855,IPCA
2020-01-01,1111019,iogurte e bebidas lacteas,0.07,0.149,IPCA
2020-01-01,1111021,requeijao,1.47,0.049,IPCA
2020-01-01,1111031,manteiga,-0.95,0.0585,IPCA
2020-01-01,1111038,leite fermentado,-1.74,0.0105,IPCA
2020-01-01,1112,panificados,0.77,1.5646,IPCA
2020-01-01,1112003,biscoito,0.59,0.4291,IPCA
2020-01-01,1112015,pao frances,1.24,0.7944,IPCA
2020-01-01,1112017,pao doce,-1.27,0.0845,IPCA
2020-01-01,1112018,pao de forma,-0.61,0.0934,IPCA
2020-01-01,1112019,bolo,0.71,0.1363,IPCA
2020-01-01,1112025,pao de queijo,1.46,0.0269,IPCA
2020-01-01,1113,oleos e gorduras,1.25,0.3289,IPCA
2020-01-01,1113013,oleo de soja,2.74,0.1776,IPCA
2020-01-01,1113014,azeite de oliva,-1.19,0.0611,IPCA
2020-01-01,1113040,margarina,-0.02,0.0902,IPCA
2020-01-01,1114,bebidas e infusoes,0.12,1.5626,IPCA
2020-01-01,1114001,suco de frutas,0.74,0.1262,IPCA
2020-01-01,1114003,polpa de fruta (congelada),-0.62,0.0132,IPCA
2020-01-01,1114004,acai (emulsao),13.37,0.0521,IPCA
2020-01-01,1114022,cafe moido,-0.23,0.2839,IPCA
2020-01-01,1114023,cafe soluvel,1.11,0.0081,IPCA
2020-01-01,1114083,refrigerante e agua mineral,-0.57,0.4947,IPCA
2020-01-01,1114084,cerveja,-0.49,0.4059,IPCA
2020-01-01,1114085,outras bebidas alcoolicas,-0.18,0.0334,IPCA
2020-01-01,1114087,vinho,-0.27,0.0678,IPCA
2020-01-01,1114090,suco em po,-0.63,0.0495,IPCA
2020-01-01,1114091,cha mate (erva mate),0.02,0.0278,IPCA
2020-01-01,1115,enlatados e conservas,1.35,0.1442,IPCA
2020-01-01,1115013,alimento infantil,2.6,0.0019,IPCA
2020-01-01,1115016,palmito em conserva,0.53,0.0184,IPCA
2020-01-01,1115017,pepino em conserva,-0.08,0.0039,IPCA
2020-01-01,1115039,sardinha em conserva,1.77,0.0386,IPCA
2020-01-01,1115050,salsicha em conserva,-1.46,0.0012,IPCA
2020-01-01,1115056,sopa desidratada,0.11,0.0019,IPCA
2020-01-01,1115057,azeitona,0.86,0.0314,IPCA
2020-01-01,1115058,milho-verde em conserva,3.31,0.0259,IPCA
2020-01-01,1115075,atum em conserva,0.0,0.021,IPCA
2020-01-01,1116,sal e condimentos,0.59,0.3579,IPCA
2020-01-01,1116001,leite de coco,2.51,0.002,IPCA
2020-01-01,1116005,atomatado,0.19,0.1096,IPCA
2020-01-01,1116010,alho,1.36,0.1121,IPCA
2020-01-01,1116013,sal,-0.04,0.0043,IPCA
2020-01-01,1116022,colorau,0.52,0.0007,IPCA
2020-01-01,1116023,caldo de tucupi,0.97,0.001,IPCA
2020-01-01,1116026,fermento,-0.17,0.0058,IPCA
2020-01-01,1116033,maionese,0.78,0.0445,IPCA
2020-01-01,1116041,vinagre,0.5,0.0165,IPCA
2020-01-01,1116048,caldo concentrado,-0.57,0.0093,IPCA
2020-01-01,1116071,tempero misto,-0.1,0.0521,IPCA
2020-01-01,12,alimentacao fora do domicilio,0.82,5.867,IPCA
2020-01-01,1201001,refeicao,1.05,3.7109,IPCA
2020-01-01,1201003,lanche,0.42,1.6216,IPCA
2020-01-01,1201009,cafezinho,-0.43,0.0405,IPCA
2020-01-01,1201061,doces,0.47,0.0045,IPCA
2020-01-01,2,habitacao,0.55,15.5945,IPCA
2020-01-01,21,encargos e manutencao,0.68,9.9808,IPCA
2020-01-01,2101,aluguel e taxas,0.76,7.9125,IPCA
2020-01-01,2101001,aluguel residencial,0.61,3.7845,IPCA
2020-01-01,2101002,condominio,1.39,2.3058,IPCA
2020-01-01,2101004,taxa de agua e esgoto,0.3,1.8205,IPCA
2020-01-01,2101012,mudanca,0.0,0.0016,IPCA
2020-01-01,2103,reparos,0.44,1.3254,IPCA
2020-01-01,2103005,ferragens,-0.33,0.0092,IPCA
2020-01-01,2103008,material de eletricidade,-0.52,0.0149,IPCA
2020-01-01,2103012,vidro,3.39,0.0031,IPCA
2020-01-01,2103014,tinta,0.44,0.2466,IPCA
2020-01-01,2103032,revestimento de piso e parede,1.13,0.2253,IPCA
2020-01-01,2103038,madeira e taco,-0.51,0.0158,IPCA
2020-01-01,2103039,cimento,1.36,0.0244,IPCA
2020-01-01,2103040,tijolo,1.29,0.0215,IPCA
2020-01-01,2103041,material hidraulico,1.17,0.0366,IPCA
2020-01-01,2103042,mao de obra,0.21,0.6753,IPCA
2020-01-01,2103048,areia,0.66,0.0136,IPCA
2020-01-01,2103049,pedras,-1.86,0.0005,IPCA
2020-01-01,2103055,telha,-0.49,0.0384,IPCA
2020-01-01,2104,artigos de limpeza,0.23,0.7429,IPCA
2020-01-01,2104003,saco para lixo,-0.91,0.0054,IPCA
2020-01-01,2104005,agua sanitaria,0.9,0.0628,IPCA
2020-01-01,2104008,detergente,-0.08,0.1464,IPCA
2020-01-01,2104009,sabao em po,0.35,0.2284,IPCA
2020-01-01,2104012,desinfetante,-1.21,0.0596,IPCA
2020-01-01,2104015,sabao em barra,-0.02,0.0297,IPCA
2020-01-01,2104016,esponja de limpeza,-1.74,0.0042,IPCA
2020-01-01,2104019,sabao liquido,-2.42,0.0061,IPCA
2020-01-01,2104020,limpador multiuso,-1.39,0.0267,IPCA
2020-01-01,2104041,papel toalha,-1.93,0.005,IPCA
2020-01-01,2104085,amaciante e alvejante,1.15,0.1685,IPCA
2020-01-01,22,combustiveis e energia,0.31,5.6138,IPCA
2020-01-01,2201,combustiveis (domesticos),0.84,1.2056,IPCA
2020-01-01,2201003,carvao vegetal,-1.13,0.006,IPCA
2020-01-01,2201004,gas de botijao,0.87,1.0653,IPCA
2020-01-01,2201005,gas encanado,0.64,0.1342,IPCA
2020-01-01,2202,energia eletrica residencial,0.16,4.4082,IPCA
2020-01-01,3,artigos de residencia,-0.07,3.7529,IPCA
2020-01-01,31,moveis e utensilios,-0.19,1.7949,IPCA
2020-01-01,3101,mobiliario,-0.39,1.1251,IPCA
2020-01-01,3101002,movel para sala,-1.24,0.3696,IPCA
2020-01-01,3101003,movel para quarto,0.26,0.5002,IPCA
2020-01-01,3101015,movel para copa e cozinha,-0.22,0.2121,IPCA
2020-01-01,3101016,movel infantil,-1.84,0.0292,IPCA
2020-01-01,3101017,colchao,-0.84,0.014,IPCA
2020-01-01,3102,utensilios e enfeites,0.28,0.4793,IPCA
2020-01-01,3102001,artigos de iluminacao,0.08,0.0826,IPCA
2020-01-01,3102005,tapete,-0.62,0.0624,IPCA
2020-01-01,3102006,cortina,0.41,0.0912,IPCA
2020-01-01,3102007,utensilios de metal,0.82,0.1617,IPCA
2020-01-01,3102009,utensilios de vidro e louca,-0.4,0.0503,IPCA
2020-01-01,3102010,utensilios de plastico,-0.54,0.0095,IPCA
2020-01-01,3102035,flores naturais,-0.62,0.0056,IPCA
2020-01-01,3102337,utensilios para bebe,1.5,0.016,IPCA
2020-01-01,3103,"cama, mesa e banho",-0.23,0.1905,IPCA
2020-01-01,3103001,roupa de cama,-0.21,0.185,IPCA
2020-01-01,3103003,roupa de banho,-0.8,0.0054,IPCA
2020-01-01,32,aparelhos eletroeletronicos,0.02,1.6432,IPCA
2020-01-01,3201,eletrodomesticos e equipamentos,-0.38,0.8882,IPCA
2020-01-01,3201001,refrigerador,-0.63,0.3435,IPCA
2020-01-01,3201002,ar-condicionado,-0.88,0.1031,IPCA
2020-01-01,3201006,maquina de lavar roupa,-1.44,0.2472,IPCA
2020-01-01,3201013,ventilador,0.26,0.0194,IPCA
2020-01-01,3201021,fogao,1.87,0.1681,IPCA
2020-01-01,3201050,chuveiro eletrico,0.64,0.0069,IPCA
2020-01-01,3202,"tv, som e informatica",0.5,0.755,IPCA
2020-01-01,3202001,televisor,1.35,0.4413,IPCA
2020-01-01,3202003,aparelho de som,-0.87,0.0125,IPCA
2020-01-01,3202008,videogame (console),2.33,0.0028,IPCA
2020-01-01,3202028,computador pessoal,-0.72,0.2983,IPCA
2020-01-01,33,consertos e manutencao,0.15,0.3147,IPCA
2020-01-01,3301002,conserto de refrigerador,0.58,0.0161,IPCA
2020-01-01,3301006,conserto de televisor,-0.6,0.0021,IPCA
2020-01-01,3301015,conserto de maquina de lavar roupa,1.03,0.0045,IPCA
2020-01-01,3301022,reforma de estofado,-0.01,0.0459,IPCA
2020-01-01,3301088,conserto de aparelho celular,-0.07,0.0676,IPCA
2020-01-01,3301130,conserto de bicicleta,0.21,0.1784,IPCA
2020-01-01,4,vestuario,-0.48,4.577,IPCA
2020-01-01,41,roupas,-0.64,3.1247,IPCA
2020-01-01,4101,roupa masculina,-0.36,1.0913,IPCA
2020-01-01,4101002,calca comprida masculina,0.8,0.2978,IPCA
2020-01-01,4101005,agasalho masculino,-1.38,0.0235,IPCA
2020-01-01,4101006,bermuda/short masculino,0.12,0.1781,IPCA
2020-01-01,4101008,cueca,-0.98,0.0073,IPCA
2020-01-01,4101009,camisa/camiseta masculina,-1.06,0.5847,IPCA
2020-01-01,4102,roupa feminina,-1.19,1.4037,IPCA
2020-01-01,4102002,calca comprida feminina,-2.13,0.329,IPCA
2020-01-01,4102003,agasalho feminino,-1.07,0.0285,IPCA
2020-01-01,4102004,saia,-0.49,0.0099,IPCA
2020-01-01,4102005,vestido,-0.37,0.3089,IPCA
2020-01-01,4102008,blusa,-1.24,0.542,IPCA
2020-01-01,4102010,lingerie,-0.82,0.1133,IPCA
2020-01-01,4102013,bermuda/short feminino,-0.67,0.0721,IPCA
2020-01-01,4103,roupa infantil,0.08,0.6297,IPCA
2020-01-01,4103001,uniforme escolar,1.58,0.0835,IPCA
2020-01-01,4103002,calca comprida infantil,-0.89,0.078,IPCA
2020-01-01,4103005,agasalho infantil,-0.07,0.009,IPCA
2020-01-01,4103007,vestido infantil,-0.69,0.0572,IPCA
2020-01-01,4103008,bermuda/short infantil,0.1,0.06,IPCA
2020-01-01,4103011,camisa/camiseta infantil,0.05,0.1988,IPCA
2020-01-01,4103031,conjunto infantil,0.06,0.1433,IPCA
2020-01-01,42,calcados e acessorios,-0.26,1.1975,IPCA
2020-01-01,4201002,sapato masculino,-0.71,0.1568,IPCA
2020-01-01,4201003,sapato feminino,-0.48,0.2791,IPCA
2020-01-01,4201004,sapato infantil,-1.79,0.0283,IPCA
2020-01-01,4201015,bolsa,-0.06,0.0629,IPCA
2020-01-01,4201040,mochila,-0.96,0.0105,IPCA
2020-01-01,4201063,tenis,0.18,0.4531,IPCA
2020-01-01,4201098,sandalia/chinelo,-0.41,0.2068,IPCA
2020-01-01,43,joias e bijuterias,0.69,0.1996,IPCA
2020-01-01,4301001,bijuteria,0.38,0.0171,IPCA
2020-01-01,4301002,joia,1.4,0.1319,IPCA
2020-01-01,4301004,relogio de pulso,-1.06,0.0506,IPCA
2020-01-01,44,tecidos e armarinho,-0.18,0.0551,IPCA
2020-01-01,4401001,tecido,-0.35,0.0454,IPCA
2020-01-01,4401002,artigos de armarinho,0.6,0.0097,IPCA
2020-01-01,5,transportes,0.32,20.5979,IPCA
2020-01-01,5101,transporte publico,-0.79,3.3297,IPCA
2020-01-01,5101001,onibus urbano,0.78,1.3527,IPCA
2020-01-01,5101002,taxi,0.4,0.2042,IPCA
2020-01-01,5101004,trem,1.31,0.0379,IPCA
2020-01-01,5101006,onibus intermunicipal,1.18,0.4226,IPCA
2020-01-01,5101007,onibus interestadual,0.33,0.1297,IPCA
2020-01-01,5101010,passagem aerea,-6.75,0.6943,IPCA
2020-01-01,5101011,metro,1.74,0.0686,IPCA
2020-01-01,5101026,transporte escolar,1.37,0.1357,IPCA
2020-01-01,5101051,transporte por aplicativo,-0.54,0.2177,IPCA
2020-01-01,5101053,integracao transporte publico,2.03,0.0664,IPCA
2020-01-01,5102,veiculo proprio,0.24,11.1853,IPCA
2020-01-01,5102001,automovel novo,0.58,2.9615,IPCA
2020-01-01,5102004,emplacamento e licenca,0.3,2.366,IPCA
2020-01-01,5102005,seguro voluntario de veiculo,0.53,0.8315,IPCA
2020-01-01,5102006,multa,0.0,0.1203,IPCA
2020-01-01,5102007,oleo lubrificante,0.6,0.1271,IPCA
2020-01-01,5102009,acessorios e pecas,-0.12,0.1775,IPCA
2020-01-01,5102010,pneu,0.73,0.1982,IPCA
2020-01-01,5102011,conserto de automovel,0.05,1.7045,IPCA
2020-01-01,5102013,estacionamento,-1.03,0.068,IPCA
2020-01-01,5102015,pedagio,0.1,0.0948,IPCA
2020-01-01,5102020,automovel usado,-0.46,1.9081,IPCA
2020-01-01,5102037,pintura de veiculo,0.23,0.0146,IPCA
2020-01-01,5102051,aluguel de veiculo,-1.16,0.0204,IPCA
2020-01-01,5102053,motocicleta,0.79,0.5928,IPCA
2020-01-01,5104,combustiveis (veiculos),1.08,6.0829,IPCA
2020-01-01,5104001,gasolina,0.89,5.1495,IPCA
2020-01-01,5104002,etanol,2.59,0.6716,IPCA
2020-01-01,5104003,oleo diesel,1.34,0.1997,IPCA
2020-01-01,5104005,gas veicular,0.26,0.0621,IPCA
2020-01-01,6,saude e cuidados pessoais,-0.32,13.5334,IPCA
2020-01-01,61,produtos farmaceuticos e oticos,0.25,3.7898,IPCA
2020-01-01,6101,produtos farmaceuticos,0.33,3.4805,IPCA
2020-01-01,6101001,anti-infeccioso e antibiotico,0.48,0.2512,IPCA
2020-01-01,6101002,analgesico e antitermico,-0.03,0.5542,IPCA
2020-01-01,6101003,anti-inflamatorio e antirreumatico,-0.29,0.166,IPCA
2020-01-01,6101004,antigripal e antitussigeno,0.32,0.2027,IPCA
2020-01-01,6101006,dermatologico,0.61,0.1296,IPCA
2020-01-01,6101007,antialergico e broncodilatador,0.2,0.1814,IPCA
2020-01-01,6101009,gastroprotetor,0.58,0.1416,IPCA
2020-01-01,6101010,vitamina e fortificante,1.31,0.2285,IPCA
2020-01-01,6101011,hormonal,0.15,0.205,IPCA
2020-01-01,6101013,psicotropico e anorexigeno,0.28,0.3093,IPCA
2020-01-01,6101014,hipotensor e hipocolesterolemico,0.47,0.654,IPCA
2020-01-01,6101051,oftalmologico,0.43,0.0957,IPCA
2020-01-01,6101064,antidiabetico,0.58,0.1957,IPCA
2020-01-01,6101148,neurologico,-0.22,0.1654,IPCA
2020-01-01,6102,produtos oticos,-0.73,0.3094,IPCA
2020-01-01,6102012,oculos de grau,-0.73,0.3094,IPCA
2020-01-01,62,servicos de saude,0.5,5.8041,IPCA
2020-01-01,6201,servicos medicos e dentarios,0.22,1.1536,IPCA
2020-01-01,6201002,medico,-0.31,0.5614,IPCA
2020-01-01,6201003,dentista,0.78,0.525,IPCA
2020-01-01,6201005,aparelho ortodontico,0.72,0.019,IPCA
2020-01-01,6201007,fisioterapeuta,3.29,0.0004,IPCA
2020-01-01,6201010,psicologo,0.06,0.0478,IPCA
2020-01-01,6202,servicos laboratoriais e hospitalares,0.4,0.6261,IPCA
2020-01-01,6202003,exame de laboratorio,0.4,0.1128,IPCA
2020-01-01,6202004,hospitalizacao e cirurgia,0.51,0.3738,IPCA
2020-01-01,6202006,exame de imagem,0.12,0.1396,IPCA
2020-01-01,6203,plano de saude,0.6,4.0243,IPCA
2020-01-01,63,cuidados pessoais,-2.07,3.9395,IPCA
2020-01-01,6301,higiene pessoal,-2.07,3.9395,IPCA
2020-01-01,6301001,produto para cabelo,-0.23,0.6351,IPCA
2020-01-01,6301002,fralda descartavel,0.67,0.2233,IPCA
2020-01-01,6301004,produto para barba,-0.72,0.1374,IPCA
2020-01-01,6301006,produto para pele,-6.51,0.3834,IPCA
2020-01-01,6301007,produto para higiene bucal,-0.61,0.2653,IPCA
2020-01-01,6301010,produto para unha,1.01,0.0041,IPCA
2020-01-01,6301011,perfume,-4.66,1.0523,IPCA
2020-01-01,6301014,desodorante,-0.06,0.4559,IPCA
2020-01-01,6301015,absorvente higienico,-0.46,0.1118,IPCA
2020-01-01,6301016,sabonete,0.38,0.2914,IPCA
2020-01-01,6301017,papel higienico,-0.28,0.2099,IPCA
2020-01-01,6301020,artigos de maquiagem,-2.72,0.1697,IPCA
2020-01-01,7,despesas pessoais,0.35,10.733,IPCA
2020-01-01,71,servicos pessoais,0.24,6.7873,IPCA
2020-01-01,7101001,costureira,0.24,0.0132,IPCA
2020-01-01,7101005,manicure,0.29,0.3972,IPCA
2020-01-01,7101010,empregado domestico,0.39,3.1209,IPCA
2020-01-01,7101011,cabeleireiro e barbeiro,0.2,1.0848,IPCA
2020-01-01,7101014,depilacao,-0.31,0.0597,IPCA
2020-01-01,7101034,cartorio,1.42,0.0218,IPCA
2020-01-01,7101036,despachante,0.55,0.0966,IPCA
2020-01-01,7101076,servico bancario,0.02,1.8249,IPCA
2020-01-01,7101090,conselho de classe,0.12,0.0563,IPCA
2020-01-01,7101144,sobrancelha,-0.26,0.112,IPCA
2020-01-01,72,recreacao e fumo,0.53,3.9457,IPCA
2020-01-01,7201,recreacao,0.65,3.3997,IPCA
2020-01-01,7201006,clube,-0.29,0.08,IPCA
2020-01-01,7201010,instrumento musical,-1.07,0.0167,IPCA
2020-01-01,7201015,tratamento de animais (clinica),-0.13,0.3006,IPCA
2020-01-01,7201019,bicicleta,0.96,0.0959,IPCA
2020-01-01,7201020,alimento para animais,0.26,0.3443,IPCA
2020-01-01,7201023,brinquedo,1.33,0.2294,IPCA
2020-01-01,7201054,casa noturna,1.71,0.044,IPCA
2020-01-01,7201063,jogos de azar,0.0,0.5335,IPCA
2020-01-01,7201067,material de caca e pesca,-0.59,0.01,IPCA
2020-01-01,7201090,hospedagem,-0.17,0.5801,IPCA
2020-01-01,7201095,pacote turistico,3.6,0.4737,IPCA
2020-01-01,7201256,servico de higiene para animais,-0.19,0.1451,IPCA
2020-01-01,7201266,"cinema, teatro e concertos",0.26,0.5464,IPCA
2020-01-01,7202,fumo,-0.2,0.546,IPCA
2020-01-01,7202041,cigarro,-0.2,0.546,IPCA
2020-01-01,8,educacao,0.16,6.1485,IPCA
2020-01-01,81,"cursos, leitura e papelaria",0.16,6.1485,IPCA
2020-01-01,8101,cursos regulares,0.0,4.6171,IPCA
2020-01-01,8101001,creche,0.0,0.192,IPCA
2020-01-01,8101002,pre-escola,0.0,0.3217,IPCA
2020-01-01,8101003,ensino fundamental,0.0,1.4879,IPCA
2020-01-01,8101004,ensino medio,0.0,0.3745,IPCA
2020-01-01,8101005,ensino superior,0.0,1.8695,IPCA
2020-01-01,8101006,pos-graduacao,0.0,0.2979,IPCA
2020-01-01,8101008,educacao de jovens e adultos,0.0,0.042,IPCA
2020-01-01,8101045,curso tecnico,0.0,0.0317,IPCA
2020-01-01,8102,leitura,1.21,0.545,IPCA
2020-01-01,8102001,jornal diario,0.0,0.0308,IPCA
2020-01-01,8102004,revista,0.2,0.028,IPCA
2020-01-01,8102007,livro didatico,1.36,0.3898,IPCA
2020-01-01,8102008,livro nao didatico,1.29,0.0964,IPCA
2020-01-01,8103,papelaria,0.44,0.1447,IPCA
2020-01-01,8103001,caderno,-0.6,0.0544,IPCA
2020-01-01,8103014,artigos de papelaria,1.06,0.0903,IPCA
2020-01-01,8104,cursos diversos,0.29,0.8417,IPCA
2020-01-01,8104001,curso preparatorio,0.0,0.078,IPCA
2020-01-01,8104003,curso de idioma,0.0,0.3092,IPCA
2020-01-01,8104004,curso de informatica,1.63,0.0016,IPCA
2020-01-01,8104005,autoescola,0.37,0.0509,IPCA
2020-01-01,8104006,atividades fisicas,0.56,0.402,IPCA
2020-01-01,9,comunicacao,0.12,5.7146,IPCA
